name,essround,edition,idno,cntry,dweight,pspwght,pweight,anweight,gndr,agea,maritalb,domicil,hhmmb,brncntr,ctzcntr,eisced,mnactic,pdwrk,emplrel,wrkctra,wkhtot,isco08,hinctnta,hincsrca,hincfel,health,hlthhmp,happy,stflife,cgtsmok,alcfreq,alcwkdy,alcwknd,alcbnge,height,weighta,region
ESS11e04_1,11,4.1,50014,AT,1.1851145,0.39289063,0.33091453,0.13001321,1,65,1,3,2,1,1,3,6,0,6,6,666,66666,6,4,1,3,3,8,8,4,3,20,21.6,5,178,90,AT31
ESS11e04_1,11,4.1,50030,AT,0.6098981,0.32515332,0.33091453,0.107597955,2,21,6,1,1,1,1,5,2,0,1,2,32,5249,1,8,2,2,2,9,9,5,3,70.4,64,2,168,74,AT22
ESS11e04_1,11,4.1,50057,AT,1.3923296,4.0000234,0.33091453,1.3236659,2,53,1,3,3,1,1,6,1,1,1,1,25,2635,5,1,1,1,3,9,10,1,4,72,72,5,180,95,AT33
ESS11e04_1,11,4.1,50106,AT,0.5560615,0.17622764,0.33091453,0.058316287,2,78,4,1,1,2,2,5,6,0,1,1,39,2221,2,4,2,3,3,7,7,6,7,6666,6666,6,167,70,AT31
ESS11e04_1,11,4.1,50145,AT,0.7227953,1.0609399,0.33091453,0.35108042,1,64,1,4,2,1,1,3,6,0,1,1,35,5223,77,4,2,2,3,9,9,1,2,24,48,4,168,67,AT32
ESS11e04_1,11,4.1,50158,AT,0.9926053,1.3928125,0.33091453,0.4609019,2,59,1,4,2,2,1,4,1,1,1,1,40,1112,9,1,1,1,3,8,8,5,2,24,24,2,155,60,AT33
ESS11e04_1,11,4.1,50211,AT,0.5403178,0.5771863,0.33091453,0.19099933,2,77,5,3,1,1,1,2,6,0,1,1,30,8219,3,4,2,2,3,7,8,6,7,6666,6666,6,158,70,AT12
ESS11e04_1,11,4.1,50212,AT,0.81462234,0.6194855,0.33091453,0.20499675,2,69,1,4,2,1,1,7,6,0,1,1,50,2330,10,4,1,2,2,8,8,4,3,12,12,5,171,94,AT12
ESS11e04_1,11,4.1,50213,AT,1.3649563,0.69363487,0.33091453,0.22953385,2,52,1,4,3,1,1,5,1,1,1,1,40,2221,8,1,2,2,3,8,8,5,5,15.6,12,5,167,68,AT11
ESS11e04_1,11,4.1,50235,AT,0.872949,0.49226722,0.33091453,0.16289838,2,75,1,4,2,1,1,2,6,0,1,1,40,5249,3,4,2,2,2,7,8,4,7,6666,6666,6,164,56,AT31
ESS11e04_1,11,4.1,50236,AT,0.6989865,0.35520682,0.33091453,0.117543094,2,44,6,1,1,1,1,5,1,1,1,1,38,4226,4,1,2,2,3,8,8,5,4,48,24,5,162,54,AT13
ESS11e04_1,11,4.1,50238,AT,0.8320375,0.31393012,0.33091453,0.10388404,1,49,1,3,2,2,2,3,3,0,1,1,40,9629,6,5,2,2,3,5,5,6,4,27.6,39.6,4,187,77,AT31
ESS11e04_1,11,4.1,50240,AT,0.87345386,0.27681613,0.33091453,0.09160248,2,63,1,1,2,1,1,3,1,1,2,6,888,99999,77,1,2,2,3,7,8,1,7,6666,6666,6,160,60,AT31
